group,pattern,eat,absorbPartsNum,Time-consuming
9,decay,0.15000000000000002,0,83.99999999999956
9,decay,0.15000000000000002,0,84.29999999999956
9,decay,0.15000000000000002,0,84.59999999999955
9,decay,0.15000000000000002,0,84.89999999999955
9,decay,0.15000000000000002,0,85.19999999999955
9,decay,0.15000000000000002,0,85.49999999999955
9,decay,0.15000000000000002,0,85.79999999999954
9,decay,0.15000000000000002,0,86.09999999999954
9,decay,0.15000000000000002,0,86.39999999999954
9,decay,0.15000000000000002,0,86.69999999999953
9,decay,0.15000000000000002,0,86.99999999999953
9,decay,0.15000000000000002,0,87.29999999999953
9,decay,0.15000000000000002,0,87.59999999999953
9,decay,0.15000000000000002,0,87.89999999999952
9,decay,0.15000000000000002,0,88.19999999999952
9,decay,0.15000000000000002,0,88.49999999999952
9,decay,0.15000000000000002,0,88.79999999999951
9,decay,0.15000000000000002,0,89.09999999999951
9,decay,0.15000000000000002,0,89.39999999999951
9,decay,0.15000000000000002,0,89.6999999999995
9,decay,0.15000000000000002,0,89.9999999999995
9,decay,0.15000000000000002,0,90.2999999999995
9,decay,0.15000000000000002,0,90.5999999999995
10,decay,0.2,0,0.0
10,decay,0.2,0,0.3
10,decay,0.2,0,0.6
10,decay,0.2,0,0.8999999999999999
10,decay,0.2,0,1.2
10,decay,0.2,0,1.5
